gem,count
Spectrolite,0
Petrified Wood,1
Navratna,1
Jasper,1
Chrome Tourmaline,2
Moss Agate,3
Teal Sapphire,3
Titanite,4
Malachite,4
Danburite,4
Tanzania Ruby,5
Amethyst Cabochon,5
Blizzard Stone,6
Orange Sapphire,6
Sri Lanka Moonstone,7
Red Tourmaline,8
Star Garnet,12
Peacock Tanzanite,15
Chrysoberyl,15
Mandarin Garnet,18
Vivid Green Emerald,20
Blue Spinel,21
Green Tanzanite,21
Cornflower Blue Sapphire,23
Orange Kyanite,24
Indian Emerald,24
Grey Sapphire,27
Mocha Scapolite,27
Insignificant Oil Emerald,29
Lavender Quartz,33
Red Spinel,35
Russian Emerald,39
Peach Morganite,39
Black Tourmaline,40
LLHKW1~S,41
Khooni Neelam,42
Yellow Zircon,45
Panjshir Emerald,46
Color Change Sapphire,47
Pink Opal,50
Cats Eye Opal,54
Green Sapphire,55
Angel Skin Coral,60
Rainbow Moonstone,68
Blue Moonstone,70
Spessartite,81
Pink Morganite,86
Pink Coral,87
Kashmir Blue Sapphire,91
Sunstone,95
Royal Blue Sapphire,96
Tiger Eye,96
Goshenite,98
Padparadscha Sapphire,99
Almandine Garnet (Pyrope),101
Grandidierite,102
Burmese Sapphire,109
White Topaz,109
Alexandrite Cats Eye,125
Pink Topaz,126
Ammolite,132
Cats Eye Moonstone,133
Pink Spinel,135
Amber,141
Jade Nephrite,143
Obsidian,148
Pigeon Blood Ruby,157
Tsavorite,157
Lemon Quartz,162
Fluorite,163
Purple Sapphire,168
Japanese Red Coral,171
Rubellite,175
Paraiba Tourmaline,175
Lapis Lazuli,179
Beryl,184
Star Sapphire,184
Heliodor,188
Neon Apatite,194
London Blue Topaz,198
Yellow Beryl,206
Green Kyanite,210
Smoky Quartz,212
Ethiopian Emerald,213
Cats Eye Quartz,214
Iranian Turquoise (Irani Feroza),215
Golden Topaz,215
Purple Garnet,216
Blue Opal,217
Rose Quartz,217
Kunzite,222
Imperial Topaz,224
White Coral,228
Tahitian Pearls,240
Yellow Topaz,240
Black Pearls,240
Brown Zircon,241
Indian Ruby,243
Blue Zircon,246
Carnelian,260
Iolite (Neeli),260
Basra Pearls,266
Apatite,271
Pink Tourmaline,273
Chrysocolla,275
Natural Pearls,289
Morganite,293
Black Spinel,316
Alexandrite,366
Brown Moonstone,370
Tanzanite,392
Fire Opal,396
Swiss Blue Topaz,401
Jadeite,409
Pink Sapphire,411
Green Amethyst (Prasiolite),418
Mexican Fire Opal,420
Green Tourmaline (Verdelite),450
Keshi Pearls,450
Spinel,535
Jade,537
Aventurine,561
Peridot,602
White Zircon,635
Apatite Cat's Eye,716
Citrine (Sunela),730
Ametrine,732
Bloodstone,767
Sky Blue Topaz,774
Garnet,780
TUNFRO~K,882
Tourmaline,1079
Pitambari Neelam,1118
Burmese Ruby,1121
Mozambique Ruby,1165
Blue Topaz,1173
Star Ruby,1211
Black Opal,1213
Colombian Emerald,1217
Zircon,1225
Hessonite (Gomed),1230
Chrysoberyl Catï€¥s Eye (Lehsunia),1262
Brazilian Emerald,1271
Kyanite,1367
Turquoise (Firoza),1534
Moonstone,1576
White Sapphire,1626
Aquamarine,1663
Glass Filled Ruby,1684
Black Onyx,1718
Topaz,1776
Moldavite,1851
South Sea Pearls,2005
Red Coral (Moonga),2290
Cultured Pearls,2467
Amethyst,2510
Cats Eye,2555
CVN15J~1,2783
Pearl (Moti),3053
Australian Opal,3104
Ethiopian Opal,3170
Onyx (Chalcedony),4342
Yellow Sapphire - Pukhraj,4875
Zambian Emerald,4924
White Opal,5971
Blue Sapphire (Neelam),6149
Ruby (Manik),6609
Opal,8751
Emerald (Panna),9686
Sapphire,12122
